"","...1","emln_id.x","train_layer","test_layer","TP","FN","TN","FP","specificity","precision","recall","f1_score","balanced_accuracy","mcc","train_layer_name","test_layer_name","avg_distance_m","avg_distance_km","distance_km","emln_id.y","jaccard_pollinators","jaccard_plants","jaccard_edges","avg_sorensen_plants","avg_sorensen_pollinators"
"11",11,60,2,4,13,1,4.3,9.7,0.307142857142857,0.574954545454545,0.928571428571429,0.709511523907809,0.617857142857143,0.294296069811596,"Tenerife South","Fuerteventura",284225.3518,284.2253518,284.2253518,60,0.220588235294118,0.375,0.111842105263158,0.264165727121598,0.396596874351606
"12",12,60,2,5,9.1,1.9,1.8,9.2,0.163636363636364,0.498560371517028,0.827272727272727,0.621726256687325,0.495454545454545,-0.0255738550701862,"Tenerife South","Western Sahara",339381.7762,339.3817762,339.3817762,60,0.230769230769231,0.272727272727273,0.0845070422535211,0.322055889129001,0.320477240665211
"13",13,60,2,6,15,0,0.9,14.1,0.06,0.51576354679803,1,0.680443974630021,0.53,0.208999882101444,"Tenerife South","El Hierro",172763.448,172.763448,172.763448,60,0.230769230769231,0.4,0.0670731707317073,0.276865934524424,0.302185219180708
"14",14,60,2,7,11,0,3.5,7.5,0.318181818181818,0.602059314954052,1,0.749274799634922,0.659090909090909,0.427068974623554,"Tenerife South","La Gomera",92999.56344,92.99956344,92.99956344,60,0.0921052631578947,0.181818181818182,0.0337837837837838,0.271584238901218,0.252016962629208
"15",15,60,3,1,13,1,1.7,12.3,0.121428571428571,0.515868686868687,0.928571428571429,0.662641563257738,0.525,0.0409993440861483,"Gran Canaria","Tenerife Teno",173858.830325,173.858830325,173.858830325,60,0.202702702702703,0.529411764705882,0.105263157894737,0.356862558398086,0.365774538177768
"16",16,60,3,2,16.5,2.5,3.8,15.2,0.2,0.522374794745484,0.868421052631579,0.651519318642306,0.534210526315789,0.0776435069796198,"Gran Canaria","Tenerife South",116460.649125,116.460649125,116.460649125,60,0.2375,0.476190476190476,0.0909090909090909,0.334226864114459,0.31778859520942
"17",17,60,3,3,19,0,4.1,14.9,0.215789473684211,0.562058133859604,1,0.719154645951855,0.607894736842105,0.342459602888251,"Gran Canaria","Gran Canaria",0,0,0,60,1,1,1,0.280815743771615,0.347849422151845
"18",18,60,3,4,14,0,2.3,11.7,0.164285714285714,0.545920227920228,1,0.705923768144564,0.582142857142857,0.290287752250117,"Gran Canaria","Fuerteventura",190474.59875,190.47459875,190.47459875,60,0.352941176470588,0.75,0.215827338129496,0.264165727121598,0.396596874351606
"19",19,60,3,5,8.9,2.1,1.4,9.6,0.127272727272727,0.483034055727554,0.809090909090909,0.604388473965782,0.468181818181818,-0.110177925954472,"Gran Canaria","Western Sahara",244280.590775,244.280590775,244.280590775,60,0.253521126760563,0.277777777777778,0.0694444444444444,0.322055889129001,0.320477240665211
"20",20,60,3,6,15,0,1.7,13.3,0.113333333333333,0.530858700686287,1,0.693295568111223,0.556666666666667,0.252236742450576,"Gran Canaria","El Hierro",274346.546,274.346546,274.346546,60,0.253521126760563,0.352941176470588,0.0802469135802469,0.276865934524424,0.302185219180708
"21",21,60,3,7,9,2,3.4,7.6,0.309090909090909,0.54530959752322,0.818181818181818,0.653551850448402,0.563636363636364,0.137804861789967,"Gran Canaria","La Gomera",200274.260075,200.274260075,200.274260075,60,0.135802469135802,0.3125,0.0337837837837838,0.271584238901218,0.252016962629208
"22",22,60,4,1,14,0,2.1,11.9,0.15,0.541717948717949,1,0.702402159244265,0.575,0.319609895931956,"Fuerteventura","Tenerife Teno",337055.48055,337.05548055,337.05548055,60,0.17741935483871,0.4,0.106870229007634,0.356862558398086,0.365774538177768
"23",23,60,4,2,18,1,3.8,15.2,0.2,0.54334255403041,0.947368421052632,0.690256296422778,0.573684210526316,0.212551137790979,"Fuerteventura","Tenerife South",284225.3518,284.2253518,284.2253518,60,0.220588235294118,0.375,0.111842105263158,0.334226864114459,0.31778859520942
"24",24,60,4,3,17,2,4.5,14.5,0.236842105263158,0.543184183647893,0.894736842105263,0.67491847834705,0.565789473684211,0.152597209347181,"Fuerteventura","Gran Canaria",190474.59875,190.47459875,190.47459875,60,0.352941176470588,0.75,0.215827338129496,0.280815743771615,0.347849422151845
"25",25,60,4,4,12,2,3.8,10.2,0.271428571428571,0.54184641445511,0.857142857142857,0.66357881986365,0.564285714285714,0.153972566196442,"Fuerteventura","Fuerteventura",0,0,0,60,1,1,1,0.264165727121598,0.396596874351606
"26",26,60,4,5,10,1,1.9,9.1,0.172727272727273,0.526084819892869,0.909090909090909,0.665720509560888,0.540909090909091,0.0933182215028501,"Fuerteventura","Western Sahara",305248.84735,305.24884735,305.24884735,60,0.303571428571429,0.25,0.0826446280991736,0.322055889129001,0.320477240665211
"27",27,60,4,6,14,1,2.4,12.6,0.16,0.528874772015702,0.933333333333333,0.674382982353845,0.546666666666667,0.115614769077442,"Fuerteventura","El Hierro",455676.643375,455.676643375,455.676643375,60,0.303571428571429,0.315789473684211,0.0629370629370629,0.276865934524424,0.302185219180708
"28",28,60,4,7,10.1,0.9,1.7,9.3,0.154545454545455,0.521968892820286,0.918181818181818,0.665111367127496,0.536363636363636,0.0953218505334847,"Fuerteventura","La Gomera",376892.630125,376.892630125,376.892630125,60,0.134328358208955,0.277777777777778,0.04,0.271584238901218,0.252016962629208
"29",29,60,5,1,13,1,3.2,10.8,0.228571428571429,0.547725296442688,0.928571428571429,0.688581476213055,0.578571428571429,0.209912605213862,"Western Sahara","Tenerife Teno",389094.179225,389.094179225,389.094179225,60,0.206896551724138,0.352941176470588,0.092436974789916,0.356862558398086,0.365774538177768
"30",30,60,5,2,18,1,2.6,16.4,0.136842105263158,0.524272345301757,0.947368421052632,0.674695404484528,0.542105263157895,0.127516855946515,"Western Sahara","Tenerife South",339381.7762,339.3817762,339.3817762,60,0.230769230769231,0.272727272727273,0.0845070422535211,0.334226864114459,0.31778859520942
"31",31,60,5,3,19,0,2.4,16.6,0.126315789473684,0.534789742473566,1,0.696559047480246,0.563157894736842,0.249055038595882,"Western Sahara","Gran Canaria",244280.590775,244.280590775,244.280590775,60,0.253521126760563,0.277777777777778,0.0694444444444444,0.280815743771615,0.347849422151845
"32",32,60,5,4,13.1,0.9,3,11,0.214285714285714,0.544801054018445,0.935714285714286,0.688289078552236,0.575,0.207056493929709,"Western Sahara","Fuerteventura",305248.84735,305.24884735,305.24884735,60,0.303571428571429,0.25,0.0826446280991736,0.264165727121598,0.396596874351606
"33",33,60,5,5,7.3,3.7,2.4,8.6,0.218181818181818,0.459770381836945,0.663636363636364,0.542231176231176,0.440909090909091,-0.136492247098709,"Western Sahara","Western Sahara",0,0,0,60,1,1,1,0.322055889129001,0.320477240665211
"34",34,60,5,6,14.4,0.6,0.8,14.2,0.0533333333333333,0.503959131545338,0.96,0.660752038659015,0.506666666666667,0.00913172101129259,"Western Sahara","El Hierro",437371.016375,437.371016375,437.371016375,60,0.4,0.666666666666667,0.256880733944954,0.276865934524424,0.302185219180708
"35",35,60,5,7,11,0,2.9,8.1,0.263636363636364,0.577614870509607,1,0.731768168335187,0.631818181818182,0.384723868568966,"Western Sahara","La Gomera",390008.86975,390.00886975,390.00886975,60,0.123076923076923,0.285714285714286,0.036036036036036,0.271584238901218,0.252016962629208
"36",36,60,6,1,14,0,3.2,10.8,0.228571428571429,0.566180523180523,1,0.72250770766817,0.614285714285714,0.353335860975511,"El Hierro","Tenerife Teno",129414.4136,129.4144136,129.4144136,60,0.166666666666667,0.4375,0.0863309352517986,0.356862558398086,0.365774538177768
"37",37,60,6,2,15,4,5.2,13.8,0.273684210526316,0.523144551808345,0.789473684210526,0.628632572362895,0.531578947368421,0.0648778198130415,"El Hierro","Tenerife South",172763.448,172.763448,172.763448,60,0.230769230769231,0.4,0.0670731707317073,0.334226864114459,0.31778859520942
"38",38,60,6,3,19,0,4.4,14.6,0.231578947368421,0.568024387623534,1,0.723754995945102,0.615789473684211,0.351843431893698,"El Hierro","Gran Canaria",274346.546,274.346546,274.346546,60,0.253521126760563,0.352941176470588,0.0802469135802469,0.280815743771615,0.347849422151845
"39",39,60,6,4,12,2,3.8,10.2,0.271428571428571,0.545719420167933,0.857142857142857,0.665369726360438,0.564285714285714,0.13108365589222,"El Hierro","Fuerteventura",455676.643375,455.676643375,455.676643375,60,0.303571428571429,0.315789473684211,0.0629370629370629,0.264165727121598,0.396596874351606
"40",40,60,6,5,9.2,1.8,2.7,8.3,0.245454545454545,0.528674750601995,0.836363636363636,0.64668614292641,0.540909090909091,0.0888744559149586,"El Hierro","Western Sahara",437371.016375,437.371016375,437.371016375,60,0.4,0.666666666666667,0.256880733944954,0.322055889129001,0.320477240665211
"41",41,60,6,6,11.7,3.3,3.6,11.4,0.24,0.508851568721134,0.78,0.614865783273999,0.51,0.0136188010504376,"El Hierro","El Hierro",0,0,0,60,1,1,1,0.276865934524424,0.302185219180708
"42",42,60,6,7,10,1,4.5,6.5,0.409090909090909,0.614767074171099,0.909090909090909,0.730978593770585,0.659090909090909,0.354134635609956,"El Hierro","La Gomera",80112.73198,80.11273198,80.11273198,60,0.123076923076923,0.285714285714286,0.0381679389312977,0.271584238901218,0.252016962629208
"43",43,60,7,1,14,0,2.7,11.3,0.192857142857143,0.554598909946736,1,0.713124739235137,0.596428571428571,0.31997417163241,"La Gomera","Tenerife Teno",52751.492455,52.751492455,52.751492455,60,0.0895522388059701,0.235294117647059,0.032,0.356862558398086,0.365774538177768
"44",44,60,7,2,18,1,2.6,16.4,0.136842105263158,0.524510819069643,0.947368421052632,0.674827724994207,0.542105263157895,0.111786916999695,"La Gomera","Tenerife South",92999.56344,92.99956344,92.99956344,60,0.0921052631578947,0.181818181818182,0.0337837837837838,0.334226864114459,0.31778859520942
"45",45,60,7,3,19,0,2.8,16.2,0.147368421052632,0.540495448179272,1,0.701494112415311,0.573684210526316,0.277576347831945,"La Gomera","Gran Canaria",200274.260075,200.274260075,200.274260075,60,0.135802469135802,0.3125,0.0337837837837838,0.280815743771615,0.347849422151845
"46",46,60,7,4,11.2,2.8,2.2,11.8,0.157142857142857,0.487518633540373,0.8,0.605563614510983,0.478571428571429,-0.061011751248175,"La Gomera","Fuerteventura",376892.630125,376.892630125,376.892630125,60,0.134328358208955,0.277777777777778,0.04,0.264165727121598,0.396596874351606
"47",47,60,7,5,10,1,2.8,8.2,0.254545454545455,0.551031991744066,0.909090909090909,0.68569839504211,0.581818181818182,0.208065354849001,"La Gomera","Western Sahara",390008.86975,390.00886975,390.00886975,60,0.123076923076923,0.285714285714286,0.036036036036036,0.322055889129001,0.320477240665211
"48",48,60,7,6,13,2,2.4,12.6,0.16,0.508743386243386,0.866666666666667,0.640865813143181,0.513333333333333,0.0235507909143089,"La Gomera","El Hierro",80112.73198,80.11273198,80.11273198,60,0.123076923076923,0.285714285714286,0.0381679389312977,0.276865934524424,0.302185219180708
"49",49,60,7,7,11,0,1.2,9.8,0.109090909090909,0.529799498746867,1,0.692352150537634,0.554545454545455,0.265113086291644,"La Gomera","La Gomera",0,0,0,60,1,1,1,0.271584238901218,0.252016962629208
